                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.69592,                0.51011,                 1.0197,                0.87694,                0.97097,                0.96966,                0.75119,                0.85899,                0.53262,                 1.2317,             0.00030273,             0.00030273,             0.00030273
                    127,                0.66492,                0.47532,                 1.0212,                0.85538,                0.97436,                0.96899,                0.75148,                0.85549,                0.53945,                 1.2289,             0.00029172,             0.00029172,             0.00029172
                    128,                0.70379,                0.50514,                 1.0541,                0.93186,                 0.8734,                0.96181,                0.74584,                0.85762,                 0.5487,                 1.2108,             0.00028072,             0.00028072,             0.00028072
                    129,                0.65772,                0.47418,                 1.0181,                0.98641,                0.92305,                0.97367,                0.74019,                0.85947,                0.49326,                 1.2073,             0.00026972,             0.00026972,             0.00026972
                    130,                0.66263,                0.47006,                0.99704,                0.97228,                 0.9403,                0.96107,                 0.7406,                0.87975,                0.52617,                 1.2275,             0.00025872,             0.00025872,             0.00025872
                    131,                0.67435,                0.48694,                 1.0311,                 0.9494,                0.94382,                0.97025,                0.73306,                0.88022,                0.52888,                 1.2328,             0.00024772,             0.00024772,             0.00024772
                    132,                0.69256,                0.51072,                 1.0393,                0.95462,                0.94311,                0.97493,                0.74266,                0.86912,                 0.5158,                 1.2297,             0.00023671,             0.00023671,             0.00023671
                    133,                0.62763,                0.45248,                 0.9905,                0.95791,                0.94338,                0.97586,                0.73688,                0.87839,                0.51827,                 1.2218,             0.00022571,             0.00022571,             0.00022571
                    134,                0.63951,                0.46443,                 1.0037,                0.97403,                0.95463,                0.97702,                0.74047,                0.86954,                0.51257,                 1.2133,             0.00021471,             0.00021471,             0.00021471
                    135,                0.64889,                0.46253,                 1.0058,                0.93873,                0.93033,                0.97915,                0.73559,                0.84907,                0.51723,                  1.212,             0.00020371,             0.00020371,             0.00020371
                    136,                0.64267,                0.46957,                 1.0023,                0.97364,                0.88622,                0.97535,                0.75065,                 0.8579,                0.53138,                 1.2315,             0.00019271,             0.00019271,             0.00019271
