                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                0.67631,                0.54142,                 1.0132,                0.88242,                0.85805,                0.91403,                0.69583,                 0.8618,                0.61466,                 1.1773,              0.0006438,              0.0006438,              0.0006438
                     96,                0.64855,                0.53289,                0.99398,                0.91338,                0.88095,                0.91801,                0.67008,                0.89744,                0.63405,                 1.2009,             0.00063279,             0.00063279,             0.00063279
                     97,                0.67033,                0.54312,                 1.0144,                0.91529,                 0.8881,                  0.929,                0.66227,                0.89881,                 0.6212,                 1.1962,             0.00062179,             0.00062179,             0.00062179
                     98,                0.66827,                0.52643,                 1.0161,                  0.913,                0.87279,                 0.9298,                0.68438,                0.88926,                 0.6069,                 1.2159,             0.00061079,             0.00061079,             0.00061079
                     99,                0.65405,                0.49925,                 1.0119,                0.91334,                0.82848,                0.92741,                0.68587,                0.88803,                0.60013,                  1.226,             0.00059979,             0.00059979,             0.00059979
                    100,                0.67791,                0.51491,                 1.0211,                0.92461,                0.83658,                0.92842,                0.67952,                0.86778,                 0.5909,                  1.206,             0.00058878,             0.00058878,             0.00058878
                    101,                0.67326,                0.53461,                 1.0613,                0.91608,                0.86724,                0.93072,                0.68644,                0.85223,                0.55177,                 1.1847,             0.00057778,             0.00057778,             0.00057778
                    102,                0.69186,                0.52085,                 1.0265,                 0.9081,                0.89524,                0.93271,                0.69199,                0.83929,                0.52272,                 1.1516,             0.00056678,             0.00056678,             0.00056678
                    103,                0.65864,                0.54775,                 1.0361,                0.92903,                0.87114,                0.92453,                0.68351,                0.84443,                0.56492,                 1.1368,             0.00055578,             0.00055578,             0.00055578
                    104,                0.64812,                0.51172,                 1.0203,                0.84592,                0.90238,                0.91195,                0.66694,                0.85211,                0.59864,                 1.1376,             0.00054478,             0.00054478,             0.00054478
                    105,                0.65251,                0.51276,                 1.0096,                0.90981,                 0.9063,                0.92943,                0.70442,                0.86267,                0.57428,                 1.1645,             0.00053377,             0.00053377,             0.00053377
                    106,                0.66621,                0.51404,                  1.028,                0.91336,                0.85476,                0.92888,                0.69672,                 0.8632,                0.55855,                 1.1982,             0.00052277,             0.00052277,             0.00052277
                    107,                0.65207,                 0.5174,                 1.0239,                0.92326,                0.86387,                0.92382,                0.70892,                0.85123,                0.54877,                 1.1797,             0.00051177,             0.00051177,             0.00051177
                    108,                0.63998,                0.48285,                 1.0235,                0.92069,                0.87694,                0.92774,                  0.708,                 0.8388,                0.55045,                  1.174,             0.00050077,             0.00050077,             0.00050077
                    109,                0.60397,                0.45945,                 1.0104,                 0.9566,                0.87194,                0.93858,                0.72353,                0.86148,                0.53377,                 1.2016,             0.00048976,             0.00048976,             0.00048976
                    110,                0.60569,                0.44756,                0.99262,                0.92356,                0.85478,                0.92567,                0.70337,                0.87277,                0.54141,                 1.1941,             0.00047876,             0.00047876,             0.00047876
                    111,                0.62078,                 0.4697,                0.99169,                0.95738,                0.85081,                0.93599,                0.68457,                0.88625,                0.51466,                 1.2107,             0.00046776,             0.00046776,             0.00046776
                    112,                0.61645,                0.46538,                0.99457,                0.89548,                0.90553,                0.93434,                 0.6808,                0.88459,                0.53022,                  1.214,             0.00045676,             0.00045676,             0.00045676
                    113,                0.61468,                0.47945,                0.99957,                0.96507,                0.87644,                0.93805,                0.70291,                0.84482,                0.51411,                 1.1795,             0.00044576,             0.00044576,             0.00044576
                    114,                0.63307,                0.46804,                 1.0118,                0.91299,                0.89912,                0.92669,                0.71204,                0.84556,                0.53159,                 1.1602,             0.00043475,             0.00043475,             0.00043475
                    115,                0.61371,                0.44787,                 1.0049,                0.93954,                0.83771,                0.92807,                0.70441,                0.85285,                0.53195,                 1.1596,             0.00042375,             0.00042375,             0.00042375
                    116,                0.58543,                0.42403,                0.97572,                0.94228,                0.84762,                0.91832,                0.71051,                0.81814,                0.51127,                 1.1446,             0.00041275,             0.00041275,             0.00041275
                    117,                0.58219,                0.45258,                 0.9711,                0.93644,                0.84048,                0.92075,                0.71631,                0.83157,                 0.5323,                 1.1698,             0.00040175,             0.00040175,             0.00040175
                    118,                0.61887,                0.43204,                 1.0088,                0.91051,                0.84804,                0.91641,                0.70311,                 0.8579,                0.55678,                 1.1875,             0.00039074,             0.00039074,             0.00039074
                    119,                0.57909,                0.43317,                0.98558,                 0.8994,                0.86894,                0.91907,                0.69502,                0.90183,                0.57583,                 1.2088,             0.00037974,             0.00037974,             0.00037974
                    120,                0.57723,                0.44817,                0.99087,                0.91288,                0.86907,                0.91371,                 0.7028,                0.87552,                0.55192,                 1.1939,             0.00036874,             0.00036874,             0.00036874
                    121,                0.62265,                0.46752,                 1.0076,                0.91691,                0.87143,                0.92521,                0.70467,                0.86429,                0.52725,                 1.1787,             0.00035774,             0.00035774,             0.00035774
                    122,                0.59444,                0.43438,                0.98662,                0.91444,                0.87259,                0.93288,                0.70822,                0.85894,                0.51947,                 1.1603,             0.00034674,             0.00034674,             0.00034674
                    123,                 0.5802,                0.43307,                0.97595,                0.94163,                0.86573,                 0.9338,                0.72656,                0.84755,                0.51025,                 1.1522,             0.00033573,             0.00033573,             0.00033573
                    124,                 0.5702,                0.42038,                0.96559,                0.89892,                0.87812,                0.92436,                0.70519,                0.84505,                 0.5294,                 1.1621,             0.00032473,             0.00032473,             0.00032473
                    125,                0.61033,                0.45121,                0.98895,                0.90329,                0.88454,                0.92828,                0.70481,                0.85996,                0.55884,                 1.1837,             0.00031373,             0.00031373,             0.00031373
                    126,                0.57371,                0.42345,                0.97098,                 0.8974,                0.88194,                0.92805,                0.70855,                0.85555,                0.57504,                 1.1821,             0.00030273,             0.00030273,             0.00030273
                    127,                0.55311,                0.40927,                0.97082,                0.91776,                0.84762,                0.93017,                0.71569,                0.84959,                  0.548,                  1.184,             0.00029172,             0.00029172,             0.00029172
                    128,                0.55979,                0.42071,                0.97382,                0.92509,                0.84762,                0.92863,                0.71392,                0.84804,                0.53003,                 1.1772,             0.00028072,             0.00028072,             0.00028072
                    129,                0.61644,                0.45339,                 1.0224,                0.87027,                0.91203,                0.92697,                0.70918,                0.83491,                0.52732,                 1.1563,             0.00026972,             0.00026972,             0.00026972
                    130,                0.54524,                0.39639,                0.96624,                0.86143,                   0.91,                0.92266,                0.71085,                0.82722,                0.51089,                 1.1439,             0.00025872,             0.00025872,             0.00025872
                    131,                0.55147,                0.41319,                 0.9671,                0.87949,                0.91667,                0.92525,                0.70975,                0.81692,                0.55452,                 1.1344,             0.00024772,             0.00024772,             0.00024772
                    132,                0.53064,                0.40948,                0.96507,                0.90509,                 0.8693,                0.91285,                0.70447,                0.81979,                 0.5387,                 1.1374,             0.00023671,             0.00023671,             0.00023671
